movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2395247
霸王别姬,2,9.6,1783306
阿甘正传,3,9.5,1803641
这个杀手不太冷,4,9.4,1973410
泰坦尼克号,5,9.4,1765043
美丽人生,6,9.6,1107224
千与千寻,7,9.4,1881098
辛德勒的名单,8,9.5,919999
盗梦空间,9,9.3,1737393
忠犬八公的故事,10,9.4,1194419
星际穿越,11,9.3,1410651
楚门的世界,12,9.3,1328789
海上钢琴师,13,9.3,1411555
三傻大闹宝莱坞,14,9.2,1585064
机器人总动员,15,9.3,1114849
放牛班的春天,16,9.3,1099875
无间道,17,9.3,1076217
疯狂动物城,18,9.2,1558736
大话西游之大圣娶亲,19,9.2,1285345
熔炉,20,9.3,779761
教父,21,9.3,782565
当幸福来敲门,22,9.1,1274892
龙猫,23,9.2,1064331
怦然心动,24,9.1,1514166
控方证人,25,9.6,380045
